EvidenceID,MaterialID,GradeID,Domain,Topic,Finding,Exposure / conditions,Rating 1–5,RubricID,Evidence type,SourceID,Locator
Q00118,M027,G027-01,Post-processing,Test specimen preparation,All the specimens were annealed and dried at 80 °C for 12 h before testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,B-abs-filament-TDS,Test specimen preparation
Q00119,M028,G028-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-abs-gf-TDS,Flammability
Q00120,M028,G028-01,Post-processing,Test specimen preparation,All the specimens were annealed and dried at 80 °C for 12 h before testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,B-abs-gf-TDS,Test specimen preparation
Q00121,M031,G031-01,Support / solubility,Solubility,Insoluble in water,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-asa-filament-TDS,Solubility
Q00122,M031,G031-01,Chemical exposure,Resistance to Acid,Resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-asa-filament-TDS,Resistance to Acid
Q00123,M031,G031-01,Chemical exposure,Resistance to Alkali,Resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-asa-filament-TDS,Resistance to Alkali
Q00124,M031,G031-01,Chemical exposure,Resistance to Organic Solvent,Not resistant to some organic solvents,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-asa-filament-TDS,Resistance to Organic Solvent
Q00125,M031,G031-01,Chemical exposure,Resistance to Oil and Grease,Not resistant to some kinds of oil and grease,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-asa-filament-TDS,Resistance to Oil and Grease
Q00126,M031,G031-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-asa-filament-TDS,Flammability
Q00127,M031,G031-01,Post-processing,Test specimen preparation,All the specimens were annealed and dried at 80 °C for 12 h before testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,B-asa-filament-TDS,Test specimen preparation
Q00128,M032,G032-01,Support / solubility,Solubility,Insoluble in water,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-asa-aero-TDS,Solubility
Q00129,M032,G032-01,Chemical exposure,Resistance to Acid,Resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-asa-aero-TDS,Resistance to Acid
Q00130,M032,G032-01,Chemical exposure,Resistance to Alkali,Resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-asa-aero-TDS,Resistance to Alkali
Q00131,M032,G032-01,Chemical exposure,Resistance to Organic Solvent,Not resistant to some organic solvents,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-asa-aero-TDS,Resistance to Organic Solvent
Q00132,M032,G032-01,Chemical exposure,Resistance to Oil and Grease,Resistant to most kinds of oil and grease,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-asa-aero-TDS,Resistance to Oil and Grease
Q00133,M032,G032-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-asa-aero-TDS,Flammability
Q00134,M032,G032-01,Post-processing,Test specimen preparation,All the specimens were annealed and dried at 80 °C for 12 h before testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,B-asa-aero-TDS,Test specimen preparation
Q00135,M033,G033-01,Support / solubility,Solubility,Insoluble in water,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-asa-cf-TDS,Solubility
Q00136,M033,G033-01,Chemical exposure,Resistance to Acid,Resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-asa-cf-TDS,Resistance to Acid
Q00137,M033,G033-01,Chemical exposure,Resistance to Alkali,Resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-asa-cf-TDS,Resistance to Alkali
Q00138,M033,G033-01,Chemical exposure,Resistance to Organic Solvent,Not resistant to some organic solvents,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-asa-cf-TDS,Resistance to Organic Solvent
Q00139,M033,G033-01,Chemical exposure,Resistance to Oil and Grease,Resistant to most kinds of oil and grease,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-asa-cf-TDS,Resistance to Oil and Grease
Q00140,M033,G033-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-asa-cf-TDS,Flammability
Q00141,M033,G033-01,Post-processing,Test specimen preparation,All the specimens were annealed and dried at 80 °C for 12 h before testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,B-asa-cf-TDS,Test specimen preparation
Q00142,M035,G035-01,Support / solubility,Solubility,Insoluble in water,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-PC-TDS,Solubility
Q00143,M035,G035-01,Chemical exposure,Resistance to Acid,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-PC-TDS,Resistance to Acid
Q00144,M035,G035-01,Chemical exposure,Resistance to Alkali,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-PC-TDS,Resistance to Alkali
Q00145,M035,G035-01,Chemical exposure,Resistance to Organic Solvent,Not resistant to some organic solvents,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-PC-TDS,Resistance to Organic Solvent
Q00146,M035,G035-01,Chemical exposure,Resistance to Oil and Grease,Resistant to most kinds of oil and grease,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-PC-TDS,Resistance to Oil and Grease
Q00147,M035,G035-01,Flammability,Flammability,Flammable and self-extinguishing in the air,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-PC-TDS,Flammability
Q00148,M035,G035-01,Post-processing,Test specimen preparation,All the specimens were annealed and dried at 80 °C for 12 hours before testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,B-PC-TDS,Test specimen preparation
Q00149,M039,G039-01,Chemical exposure,Effect of weak acids,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyFlex-TPU95-TDS-V5-1,Effect of weak acids
Q00150,M039,G039-01,Chemical exposure,Effect of strong acids,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyFlex-TPU95-TDS-V5-1,Effect of strong acids
Q00151,M039,G039-01,Chemical exposure,Effect of weak alkalis,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyFlex-TPU95-TDS-V5-1,Effect of weak alkalis
Q00152,M039,G039-01,Chemical exposure,Effect of strong alkalis,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyFlex-TPU95-TDS-V5-1,Effect of strong alkalis
Q00153,M039,G039-01,Chemical exposure,Effect of organic solvent,No data available,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyFlex-TPU95-TDS-V5-1,Effect of organic solvent
Q00154,M039,G039-01,Chemical exposure,Effect of oils and grease,No data available,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyFlex-TPU95-TDS-V5-1,Effect of oils and grease
Q00155,M040,G040-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-tpu-for-ams-TDS,Flammability
Q00156,M041,G041-01,Support / solubility,Solubility,Insoluble in water,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-tpu-95a-hf-TDS,Solubility
Q00157,M041,G041-01,Chemical exposure,Resistance to Acid,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-tpu-95a-hf-TDS,Resistance to Acid
Q00158,M041,G041-01,Chemical exposure,Resistance to Alkali,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-tpu-95a-hf-TDS,Resistance to Alkali
Q00159,M041,G041-01,Chemical exposure,Resistance to Organic Solvent,Not resistant to some organic solvents,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-tpu-95a-hf-TDS,Resistance to Organic Solvent
Q00160,M041,G041-01,Chemical exposure,Resistance to Oil and Grease,Resistant to most kinds of oil and grease,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-tpu-95a-hf-TDS,Resistance to Oil and Grease
Q00161,M041,G041-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-tpu-95a-hf-TDS,Flammability
Q00162,M041,G041-01,Post-processing,Test specimen preparation,All the specimens were annealed and dried at 70 °C for 12 h before testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,B-tpu-95a-hf-TDS,Test specimen preparation
Q00163,M042,G042-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-TPU-SOFT-TDS-4,Flammability
Q00164,M043,G043-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-TPU-SOFT-TDS-5,Flammability
Q00165,M039,G039-03,Chemical exposure,Effect of weak acids,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyFlex-TPU90-TDS-V5-1,Effect of weak acids
Q00166,M039,G039-03,Chemical exposure,Effect of strong acids,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyFlex-TPU90-TDS-V5-1,Effect of strong acids
Q00167,M039,G039-03,Chemical exposure,Effect of weak alkalis,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyFlex-TPU90-TDS-V5-1,Effect of weak alkalis
Q00168,M039,G039-03,Chemical exposure,Effect of strong alkalis,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyFlex-TPU90-TDS-V5-1,Effect of strong alkalis
Q00169,M039,G039-03,Chemical exposure,Effect of organic solvent,No data available,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyFlex-TPU90-TDS-V5-1,Effect of organic solvent
Q00170,M039,G039-03,Chemical exposure,Effect of oils and grease,No data available,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyFlex-TPU90-TDS-V5-1,Effect of oils and grease
Q00171,M047,G047-01,Chemical exposure,Effect of weak acids,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Retired duplicate record,S-POLYCN-PolyMide-CoPA-TDS-V5-2,Effect of weak acids
Q00172,M047,G047-01,Chemical exposure,Effect of strong acids,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Retired duplicate record,S-POLYCN-PolyMide-CoPA-TDS-V5-2,Effect of strong acids
Q00173,M047,G047-01,Chemical exposure,Effect of weak alkalis,Slight resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Retired duplicate record,S-POLYCN-PolyMide-CoPA-TDS-V5-2,Effect of weak alkalis
Q00174,M047,G047-01,Chemical exposure,Effect of strong alkalis,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Retired duplicate record,S-POLYCN-PolyMide-CoPA-TDS-V5-2,Effect of strong alkalis
Q00175,M047,G047-01,Chemical exposure,Effect of organic solvent,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Retired duplicate record,S-POLYCN-PolyMide-CoPA-TDS-V5-2,Effect of organic solvent
Q00176,M047,G047-01,Chemical exposure,Effect of oils and grease,Resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Retired duplicate record,S-POLYCN-PolyMide-CoPA-TDS-V5-2,Effect of oils and grease
Q00177,M047,G047-01,Post-processing,Test specimen preparation,All specimens were annealed at 80˚C for 30min and dried for 48h prior to testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Retired duplicate record,S-POLYCN-PolyMide-CoPA-TDS-V5-2,Test specimen preparation
Q00178,M048,G048-01,Support / solubility,Solubility,Insoluble in water,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-paht-cf-TDS,Solubility
Q00179,M048,G048-01,Chemical exposure,Resistance to Acid,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-paht-cf-TDS,Resistance to Acid
Q00180,M048,G048-01,Chemical exposure,Resistance to Alkali,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-paht-cf-TDS,Resistance to Alkali
Q00181,M048,G048-01,Chemical exposure,Resistance to Organic Solvent,Not resistant to some organic solvents,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-paht-cf-TDS,Resistance to Organic Solvent
Q00182,M048,G048-01,Chemical exposure,Resistance to Oil and Grease,Resistant to most kinds of oil and grease,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-paht-cf-TDS,Resistance to Oil and Grease
Q00183,M048,G048-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-paht-cf-TDS,Flammability
Q00184,M048,G048-01,Post-processing,Test specimen preparation,All the specimens were annealed and dried at 80 °C for 12 h before testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,B-paht-cf-TDS,Test specimen preparation
Q00185,M050,G050-01,Support / solubility,Solubility,Insoluble in water,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pa6-cf-TDS,Solubility
Q00186,M050,G050-01,Chemical exposure,Resistance to Acid,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pa6-cf-TDS,Resistance to Acid
Q00187,M050,G050-01,Chemical exposure,Resistance to Alkali,Not resistant,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pa6-cf-TDS,Resistance to Alkali
Q00188,M050,G050-01,Chemical exposure,Resistance to Organic Solvent,Not resistant to some organic solvents,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pa6-cf-TDS,Resistance to Organic Solvent
Q00189,M050,G050-01,Chemical exposure,Resistance to Oil and Grease,Resistant to most kinds of oil and grease,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pa6-cf-TDS,Resistance to Oil and Grease
Q00190,M050,G050-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pa6-cf-TDS,Flammability
Q00191,M050,G050-01,Post-processing,Test specimen preparation,All the specimens were annealed and dried at 80 °C for 12 h before testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,B-pa6-cf-TDS,Test specimen preparation
Q00192,M051,G051-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pa6-gf-TDS,Flammability
Q00193,M053,G053-02,Chemical exposure,Effect of weak acids,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMide-PA12-CF-TDS-V5-1-1,Effect of weak acids
Q00194,M053,G053-02,Chemical exposure,Effect of strong acids,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMide-PA12-CF-TDS-V5-1-1,Effect of strong acids
Q00195,M053,G053-02,Chemical exposure,Effect of weak alkalis,Slight resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMide-PA12-CF-TDS-V5-1-1,Effect of weak alkalis
Q00196,M053,G053-02,Chemical exposure,Effect of strong alkalis,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMide-PA12-CF-TDS-V5-1-1,Effect of strong alkalis
Q00197,M053,G053-02,Chemical exposure,Effect of organic solvent,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMide-PA12-CF-TDS-V5-1-1,Effect of organic solvent
Q00198,M053,G053-02,Chemical exposure,Effect of oils and grease,Resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMide-PA12-CF-TDS-V5-1-1,Effect of oils and grease
Q00199,M053,G053-02,Post-processing,Test specimen preparation,All specimens were annealed at 80˚C for 24h and dried for 48h prior to testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMide-PA12-CF-TDS-V5-1-1,Test specimen preparation
Q00200,M057,G057-01,Chemical exposure,Effect of weak acids,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMide-CoPA-TDS-V5-2,Effect of weak acids
Q00201,M057,G057-01,Chemical exposure,Effect of strong acids,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMide-CoPA-TDS-V5-2,Effect of strong acids
Q00202,M057,G057-01,Chemical exposure,Effect of weak alkalis,Slight resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMide-CoPA-TDS-V5-2,Effect of weak alkalis
Q00203,M057,G057-01,Chemical exposure,Effect of strong alkalis,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMide-CoPA-TDS-V5-2,Effect of strong alkalis
Q00204,M057,G057-01,Chemical exposure,Effect of organic solvent,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMide-CoPA-TDS-V5-2,Effect of organic solvent
Q00205,M057,G057-01,Chemical exposure,Effect of oils and grease,Resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMide-CoPA-TDS-V5-2,Effect of oils and grease
Q00206,M057,G057-01,Post-processing,Test specimen preparation,All specimens were annealed at 80˚C for 30min and dried for 48h prior to testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMide-CoPA-TDS-V5-2,Test specimen preparation
Q00207,M059,G059-01,Post-processing,Test specimen preparation,"All specimens were annealed at 100°C for 16h, and immerged in water at 60°C for 48h prior to testing",TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,S-FIBER-PA612,Test specimen preparation
Q00208,M061,G061-01,Chemical exposure,Effect of weak acids,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Retired duplicate record,S-POLYCN-PolyMide-CoPA-TDS-V5-2,Effect of weak acids
Q00209,M061,G061-01,Chemical exposure,Effect of strong acids,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Retired duplicate record,S-POLYCN-PolyMide-CoPA-TDS-V5-2,Effect of strong acids
Q00210,M061,G061-01,Chemical exposure,Effect of weak alkalis,Slight resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Retired duplicate record,S-POLYCN-PolyMide-CoPA-TDS-V5-2,Effect of weak alkalis
Q00211,M061,G061-01,Chemical exposure,Effect of strong alkalis,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Retired duplicate record,S-POLYCN-PolyMide-CoPA-TDS-V5-2,Effect of strong alkalis
Q00212,M061,G061-01,Chemical exposure,Effect of organic solvent,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Retired duplicate record,S-POLYCN-PolyMide-CoPA-TDS-V5-2,Effect of organic solvent
Q00213,M061,G061-01,Chemical exposure,Effect of oils and grease,Resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Retired duplicate record,S-POLYCN-PolyMide-CoPA-TDS-V5-2,Effect of oils and grease
Q00214,M061,G061-01,Post-processing,Test specimen preparation,All specimens were annealed at 80˚C for 30min and dried for 48h prior to testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Retired duplicate record,S-POLYCN-PolyMide-CoPA-TDS-V5-2,Test specimen preparation
Q00215,M062,G062-02,Post-processing,Test specimen preparation,"All specimens were annealed at 100°C for 16h, and immerged in water at 60°C for 48h prior to testing",TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Retired duplicate record,S-FIBER-PA612,Test specimen preparation
Q00216,M051,G051-03,Chemical exposure,Effect of weak acids,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMide-PA6-GF-TDS-V5-1,Effect of weak acids
Q00217,M051,G051-03,Chemical exposure,Effect of strong acids,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMide-PA6-GF-TDS-V5-1,Effect of strong acids
Q00218,M051,G051-03,Chemical exposure,Effect of weak alkalis,Slight resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMide-PA6-GF-TDS-V5-1,Effect of weak alkalis
Q00219,M051,G051-03,Chemical exposure,Effect of strong alkalis,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMide-PA6-GF-TDS-V5-1,Effect of strong alkalis
Q00220,M051,G051-03,Chemical exposure,Effect of organic solvent,Not resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMide-PA6-GF-TDS-V5-1,Effect of organic solvent
Q00221,M051,G051-03,Chemical exposure,Effect of oils and grease,Resistant,"p. 2; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMide-PA6-GF-TDS-V5-1,Effect of oils and grease
Q00222,M051,G051-03,Post-processing,Test specimen preparation,All specimens were annealed at 80˚C for 6h and dried for 48h prior to testing,TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,S-POLYCN-PolyMide-PA6-GF-TDS-V5-1,Test specimen preparation
Q00223,M064,G064-02,Post-processing,Test specimen preparation,"All specimens were annealed at 100°C for 16h, and immerged in water at 60°C for 48h prior to testing",TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Retired duplicate record,S-POLYCN-TDS-FIBERON-PA612-ESD-V1-0-EN-1,Test specimen preparation
Q00224,M065,G065-01,Post-processing,Test specimen preparation,"All specimens were annealed at 100°C for 16h, and immerged in water at 60°C for 48h prior to testing",TDS specimen conditioning. Do not confuse with a general annealing schedule.,Not published,Not applicable,Manufacturer statement,S-POLYCN-TDS-FIBERON-PA612-ESD-V1-0-EN-1,Test specimen preparation
Q00225,M067,G067-01,Flammability,Flammability,Flammable,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-pet-cf-TDS,Flammability
Q00226,M070,G070-01,Support / solubility,Solubility,Insoluble in water,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-ppa-cf-TDS,Solubility
Q00227,M070,G070-01,Chemical exposure,Resistance to Acid,"Better than general Nylon; resistant to weak acids, but","p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-ppa-cf-TDS,Resistance to Acid
Q00228,M070,G070-01,Chemical exposure,Resistance to Alkali,"Better than general Nylon; resistant to weak alkalis, but","p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-ppa-cf-TDS,Resistance to Alkali
Q00229,M070,G070-01,Chemical exposure,Resistance to Organic Solvent,Better than general Nylon; resistant to most kinds of,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-ppa-cf-TDS,Resistance to Organic Solvent
Q00230,M070,G070-01,Chemical exposure,Resistance to Oil and Grease,Better than general Nylon; resistant to most kinds of oil,"p. 3; concentration, duration and temperature not specified unless stated. Not a chemical design limit.",Not published,Not applicable,Manufacturer statement,B-ppa-cf-TDS,Resistance to Oil and Grease
