Ruling,Doc key,Provider,Brand,Product,Reading,Filler the name declares,Material it would join,Polymer has a row,Strength,Evidence,Verdict,URL
R077,https://nanovia.tech/en/ref/nanovia-tpe-22d/,Nanovia,Nanovia,TPE 22D,ABS,Unfilled / unspecified,ABS / Unfilled / unspecified,yes,narrowed,its own numbers admit 5 polymers and this maker makes one of them: density 1000 within 1000–1110,,https://nanovia.tech/en/ref/nanovia-tpe-22d/
R077,https://nanovia.tech/ref/tpe-22d/,Nanovia,Nanovia,TPE 22D,Not read,Unfilled / unspecified,Not read,Not read,unread,"polymers the page prints somewhere: ABS×3, PEI×3, PLA×2, ASA×1, HIPS×1, PC×1 — this maker's range: PLA×5, PC×5, ABS×4, PETG×4, PA6×3",,https://nanovia.tech/ref/tpe-22d/
R077,https://ninjatek.com/wp-content/uploads/Chinchilla-TDS.pdf,NinjaTek,NinjaTek,Chinchilla,TPU,Unfilled / unspecified,TPU / Unfilled / unspecified,yes,narrowed,its own numbers admit 11 polymers and this maker makes one of them: density 1130 within 1050–1300,,https://ninjatek.com/wp-content/uploads/Chinchilla-TDS.pdf
R075,0cb49f29e7b9ac7f,NinjaTek,NinjaTek,NinjaFlex Edge,Not read,Unfilled / unspecified,Not read,Not read,unread,this maker's range: TPU×3,,https://ninjatek.com/wp-content/uploads/TDS_EEL-Revision1_26-06_V1.pdf
R077,d7211f580c38f882,NinjaTek,colorFabb,PA CF Low Warp,PET,Carbon fibre,PET / Carbon fibre,yes,narrowed,its own numbers admit 3 polymers and this maker makes one of them: density 1400 within 1300–1420,,https://ninjatek.com/wp-content/uploads/colorFabb_PA-CF_Low_Warp_TDS.pdf
R083,a6bf20a30f4af7e2,Prusa Research / Prusament,Prusament,Prusament PETG Ultraglow Green,PETG,Unfilled / unspecified,PETG / Unfilled / unspecified,yes,named,the maker's own link for it names it: https://prusament.com/materials/prusament-petg-ultraglow/,yes,https://storage.googleapis.com/prusa3d-content-prod-14e8-wordpress-prusament-prod/2026/05/a150c178-prusament-petg-ultraglow-filament-technical-data-sheet.pdf
R083,https://drive.google.com/file/d/1o2Y5m-boyDLUKGqOvw_AtCM5114j38Cc/view?usp=drive_link,QIDI,QIDI,ABS RAPIDO METAL,ABS,Unfilled / unspecified,ABS / Unfilled / unspecified,yes,said (product page),"the maker's page names this product and one polymer on one line: ""ABS Rapido Metal"" (https://ca.qidi3d.com/pages/choose-the-right-filament-3d-filaments-guide-for-qidi-printers?geo_hide_market=true, sha 96b56f2ae908)",yes,https://drive.google.com/file/d/1o2Y5m-boyDLUKGqOvw_AtCM5114j38Cc/view?usp=drive_link
R075,https://drive.google.com/file/d/1SmKn9yDfEWdgjZGdPaeDpQ8je57Egjdh/view?usp=drive_link,QIDI,QIDI,S WHITE,Not read,Unfilled / unspecified,Not read,Not read,unread,"polymers the page prints somewhere: PET×4, ABS×2, PETG×2, PLA×1 — density 1.16 g/cm³; melting 168 ℃ — this maker's range: PETG×4, ASA×3, ABS×2, TPU×1, PLA×1",,https://drive.google.com/file/d/1SmKn9yDfEWdgjZGdPaeDpQ8je57Egjdh/view?usp=drive_link
R075,8992b2383e8d5a73,Shop3D Canada,Ultrafuse / Forward AM,Ultrafuse Stainless Steel 316L,Not read,Unfilled / unspecified,Not read,Not read,unread,the sheet publishes no number and names no polymer this reader can map,,https://forward-am.com/wp-content/uploads/2021/01/Ultrafuse_316L_TDS_EN_v1.1.pdf
R083,835953a80cbca8b3,SIDDAMENT,SIDDAMENT,ABS Marble,ABS,Unfilled / unspecified,ABS / Unfilled / unspecified,yes,named,the maker's own link for it names it: https://cdn.shopify.com/s/files/1/0685/9168/1815/files/ABS_Marble_TDS_Siddament.pdf?v=1747543761,yes,https://cdn.shopify.com/s/files/1/0685/9168/1815/files/ABS_Marble_TDS_Siddament.pdf?v=1747543761
R083,18ef1608374ae29e,SIDDAMENT,SIDDAMENT,ABS Wood,ABS,Unfilled / unspecified,ABS / Unfilled / unspecified,yes,named,the maker's own link for it names it: https://cdn.shopify.com/s/files/1/0685/9168/1815/files/ABS_Wood_TDS_Siddament.pdf?v=1747543619,yes,https://cdn.shopify.com/s/files/1/0685/9168/1815/files/ABS_Wood_TDS_Siddament.pdf?v=1747543619
R083,cba8422069f244e8,SIDDAMENT,SIDDAMENT,PETG Marble,PETG,Unfilled / unspecified,PETG / Unfilled / unspecified,yes,named,the maker's own link for it names it: https://cdn.shopify.com/s/files/1/0685/9168/1815/files/PETG_Marble_TDS_Siddament.pdf?v=1747543538,yes,https://cdn.shopify.com/s/files/1/0685/9168/1815/files/PETG_Marble_TDS_Siddament.pdf?v=1747543538
R075,9a2c77aa94eba1ad,Spectrum,Spectrum,spectrum greeny pro,Not read,Unfilled / unspecified,Not read,Not read,unread,"its numbers admit PET, PPS, PVA — density 1.34 g/cm3; vicat 160 °C — this maker's range: PLA×35, PETG×12, ASA×9, PA6×8, TPU×7",,https://spectrumfilaments.com/wp-content/uploads/2023/10/en_tds_spectrum_greeny_pro.pdf
R083,a0cdcd4772eb3e09,Spectrum,Spectrum,spectrum petg glitter,PETG,Unfilled / unspecified,PETG / Unfilled / unspecified,yes,named,the maker's own link for it names it: https://spectrumfilaments.com/wp-content/uploads/2022/05/en_tds_spectrum_petg_glitter.pdf,yes,https://spectrumfilaments.com/wp-content/uploads/2022/05/en_tds_spectrum_petg_glitter.pdf
R077,27fb63eeafcc72e6,Spectrum,Spectrum,spectrum thermatech pa,Not read,Unfilled / unspecified,Not read,Not read,unread,"its numbers admit PLA, PETG, CPE, PET, PPS, PVA, TPU, PBT — density 1.30 g/cm3 — this maker's range: PLA×35, PETG×12, ASA×9, PA6×8, TPU×7",,https://spectrumfilaments.com/wp-content/uploads/2024/11/en_tds_spectrum_thermatech_pa.pdf
R075,https://www.stratasys.com/siteassets/materials/materials-catalog/fdm-materials/antero-800na/mds_fdm_antero-800na_0825a.pdf?v=4a4973,Stratasys,Stratasys,antero 800na,PPA,Unfilled / unspecified,PPA / Unfilled / unspecified,yes,narrowed,its own numbers admit one polymer: melts at 300 against 290,,https://www.stratasys.com/siteassets/materials/materials-catalog/fdm-materials/antero-800na/mds_fdm_antero-800na_0825a.pdf?v=4a4973
R075,fec05c5ff7ad27a1,Stratasys,Stratasys,Antero 800NA,PEKK,Unfilled / unspecified,PEKK / Unfilled / unspecified,no — R081,said (product page),"the maker's page names this product and one polymer on one line: ""Antero 800NA: A PEKK-Based 3D Printing Material"" (https://www.stratasys.com/en/materials/materials-catalog/fdm-materials/antero-800na/, sha 39a2e256c67d)",yes,https://support.stratasys.com/-/preview-pdf/public1/materials/fdm/antero-800na/antero-800na---en-fdm-material-best-practice.pdf
R075,https://www.stratasys.com/siteassets/materials/materials-catalog/fdm-materials/st-130/mss_fdm_st130_1016a.pdf?v=48e19f,Stratasys,Stratasys,Composite Molding Material,Not read,Unfilled / unspecified,Not read,Not read,unread,"glass 132 °C — this maker's range: PC×5, ABS×3, ASA×2, PA12×1, PA6×1",,https://www.stratasys.com/siteassets/materials/materials-catalog/fdm-materials/st-130/mss_fdm_st130_1016a.pdf?v=48e19f
R075,https://www.stratasys.com/contentassets/6729604c61704654ac5c0392276a2d57/mds_fdm_diran410mf07_0224a-1.pdf?v=4aa22c,Stratasys,Stratasys,diran410mf07,Not read,Unfilled / unspecified,Not read,Not read,unread,"this maker's range: PC×5, ABS×3, ASA×2, PA12×1, PA6×1",,https://www.stratasys.com/contentassets/6729604c61704654ac5c0392276a2d57/mds_fdm_diran410mf07_0224a-1.pdf?v=4aa22c
R077,https://www.stratasys.com/siteassets/materials/materials-catalog/fdm-materials/nylon-cf10/redesign/fdm-nylon-cf10-material-datasheet.pdf?v=4ac731,Stratasys,Stratasys,nylon cf10,Not read,Carbon fibre,Not read,Not read,unread,"this maker's range: PC×5, ABS×3, ASA×2, PA12×1, PA6×1",,https://www.stratasys.com/siteassets/materials/materials-catalog/fdm-materials/nylon-cf10/redesign/fdm-nylon-cf10-material-datasheet.pdf?v=4ac731
R083,23e26436c7473577,SUNLU,SUNLU,petg glow in the dark,PETG,Unfilled / unspecified,PETG / Unfilled / unspecified,yes,named,the maker's own link for it names it: https://www.sunlu.com/products/petg-glow-in-the-dark,yes,https://media.sunlu.com/prod/20260422/52217877-b2d6-44ab-b8f6-d0cc638de94f.pdf?filename=TDS
R083,807125a7c2c10e91,SUNLU,SUNLU,silk tpu filament,TPU,Unfilled / unspecified,TPU / Unfilled / unspecified,yes,named,the maker's own link for it names it: https://www.sunlu.com/products/silk-tpu-filament,yes,https://media.sunlu.com/prod/20260330/04545ebf-ef5c-4fd9-b425-42a06d39c7c0.pdf?filename=TDS
R077,41f036e425495065,UltiMaker / MakerBot,MakerBot,MakerBot Specialty Nylon,Not read,Unfilled / unspecified,Not read,Not read,unread,"polymers the page prints somewhere: PVA×1, ABS×1",,https://ultimaker.com/wp-content/uploads/2023/12/MakerBot-Nylon-092020.pdf
R077,eb1c6983d4096527,Yousu,Yousu,Nylon,PVA,Unfilled / unspecified,PVA / Unfilled / unspecified,yes,narrowed,its own numbers admit 6 polymers and this maker makes one of them: melts at 224 against 220,,https://ysfilament.com/u_file/2206/14/file/YOUSUNylonTDS-38ef.pdf
R077,https://ultimaker.com/materials/method-series-nylon/,UltiMaker / MakerBot,MakerBot,MakerBot Specialty Nylon,Not read,Unfilled / unspecified,Not read,Not read,unread,"polymers the page prints somewhere: PLA×3, ABS×3, PC-ABS×3, PET×2, PETG×1, ASA×1",,https://ultimaker.com/materials/method-series-nylon/
