Table,Record,Migration,Where
coverage,C00453,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00454,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00455,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00456,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00457,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00458,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00460,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00463,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00464,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00465,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00466,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00467,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00468,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00470,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00473,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00474,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00475,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00476,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00477,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00478,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00480,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00483,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00484,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00485,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00486,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00487,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00488,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00493,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00494,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00503,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00504,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00505,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00506,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00507,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00513,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00514,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00515,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00517,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00523,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00524,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00533,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00534,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00535,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00536,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00537,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00538,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00540,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00543,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00544,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00545,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00546,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00550,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00553,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00554,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00555,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00556,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00557,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00558,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00560,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00563,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00564,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00565,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00566,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00567,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00568,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00570,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00573,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00574,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00575,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00578,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00582,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00583,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00584,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00585,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00586,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00587,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00592,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00593,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00594,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00595,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00596,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00602,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00603,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00612,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00613,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00622,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00623,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00624,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00625,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00626,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00627,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00632,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00633,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00642,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00643,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00644,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00645,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00646,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00652,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00653,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00662,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00663,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00672,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00673,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00682,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00683,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00692,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00693,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00695,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00696,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00702,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00703,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00704,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00705,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00712,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00713,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00714,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00715,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00716,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00722,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00723,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00724,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00725,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00726,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00727,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00729,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00732,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00733,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00734,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00741,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00742,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00743,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00744,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00745,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00752,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00753,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00754,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00755,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00756,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00757,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00759,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00762,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00763,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00764,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00765,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00766,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00772,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00773,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00774,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00775,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00776,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00782,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00783,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00784,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00785,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00786,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00787,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00789,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00792,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00793,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00794,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00795,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00796,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00802,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00803,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00804,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00806,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00807,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00809,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00813,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00814,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00815,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00816,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00817,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00824,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00825,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00834,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00835,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00836,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00838,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00839,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00841,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00845,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00846,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00847,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00849,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00850,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00852,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00856,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00857,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00858,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00860,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00861,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00867,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00868,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00869,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00870,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00871,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00872,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00874,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00877,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00878,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00880,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00881,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00887,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00888,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00889,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00890,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00891,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00897,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00898,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00900,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00901,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00907,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00908,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00909,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00910,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00918,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00919,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00920,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00921,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00922,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00923,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00928,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00929,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00933,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00938,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00939,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00940,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00941,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00942,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00945,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00948,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00949,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00953,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00957,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
coverage,C00958,m48,docs/audits/2026-09-17-model-freeze/coverage-evidence-recorded.csv; the build derives this pair from the material's own records
