Priority,MaterialID,Material,H2C status,GradeID,Manufacturer,Product,Representative,Composition / filler today,Certification claims today,TDS source,TDS URL,Where the publisher keeps documents
5 - composition undisclosed,M094,PC-ABS,Theoretical,G094-02,Polymaker,Polymaker PC ABS,no,Not published,Not published,S-POLYCN-Polymaker-PC-ABS-TDS-V5-1,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/Polymaker_PC_ABS_TDS_V5.1.pdf,cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/<Product>_TDS_V#.pdf - the documents tree of wiki.polymaker.com is the index
5 - composition undisclosed,M094,PC-ABS,Theoretical,G094-03,Spectrum,pc abs fr v0,no,Not published,Not published,S-SPECTRUM-en-tds-spectrum-pc-abs-fr-v0,https://spectrumfilaments.com/wp-content/uploads/2024/02/en_tds_spectrum_pc_abs_fr_v0.pdf,spectrumfilaments.com/wp-content/uploads/<yyyy>/<mm>/en_tds_spectrum_<product>.pdf - an en_sds_ sibling is the obvious place to look
5 - composition undisclosed,M095,PC-PBT,Theoretical,G095-01,Polymaker,Polymaker PC PBT,yes,Not published,Not published,S-POLYCN-Polymaker-PC-PBT-TDS-V5-1,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/Polymaker_PC_PBT_TDS_V5.1.pdf,cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/<Product>_TDS_V#.pdf - the documents tree of wiki.polymaker.com is the index
5 - composition undisclosed,M096,PVDF,Conditional,G096-01,3DXTECH,FLUORX PVDF,yes,Not published,Not published,X-FLUORX-PVDF-TDS-v3,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/FLUORX_PVDF_TDS_v3.pdf?v=1723942766,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
5 - composition undisclosed,M097,PEEK,Excluded,G097-01,3DXTECH,Themax PEEK,yes,Not published,Not published,X-Themax-PEEK-TDS-v3,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/Themax_PEEK_TDS_v3.pdf?v=1723942765,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
5 - composition undisclosed,M097,PEEK,Excluded,G097-02,iSANMATE,PEEK,no,Not published,Not published,I-PEEK-TDS,https://www.isanmate.com/wp-content/uploads/2022/09/PEEK_TDS.pdf,www.isanmate.com/wp-content/uploads/<yyyy>/<mm>/<Product>.pdf - the host is robots-disallowed to fetch tools; open it in a browser and keep the file
5 - composition undisclosed,M098,PEKK,Excluded,G098-01,3DXTECH,Thermax PEKK A,yes,Not published,Not published,X-Thermax-PEKK-A-TDS-v2-1,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/Thermax_PEKK-A_TDS_v2.1.pdf?v=1723942767,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
5 - composition undisclosed,M098,PEKK,Excluded,G098-02,3DXTECH,Thermax PEKK C,no,Not published,Not published,X-Thermax-PEKK-C-TDS-v3-3,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/Thermax_PEKK-C_TDS_v3.3.pdf?v=1723942768,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
5 - composition undisclosed,M099,PEI / ULTEM,Excluded,G099-01,3DXTECH,THERMAX PEI 1010,yes,Not published,Not published,X-THERMAX-PEI-1010-TDS-v4,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/THERMAX_PEI_1010_TDS_v4.pdf?v=1723942766,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
5 - composition undisclosed,M099,PEI / ULTEM,Excluded,G099-02,iSANMATE,PEI 9085,no,Not published,Not published,I-PEI-9085-TDS,https://www.isanmate.com/wp-content/uploads/2022/09/PEI-9085_TDS.pdf,www.isanmate.com/wp-content/uploads/<yyyy>/<mm>/<Product>.pdf - the host is robots-disallowed to fetch tools; open it in a browser and keep the file
5 - composition undisclosed,M100,PSU,Excluded,G100-01,3DXTECH,THERMAX PSU,yes,Not published,Not published,X-THERMAX-PSU-TDS-v3,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/THERMAX_PSU_TDS_v3.pdf?v=1723942766,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
5 - composition undisclosed,M101,PESU / PES,Excluded,G101-01,3DXTECH,THERMAX PES,yes,Not published,Not published,S-PES-THERMAX-PES-TDS-v1-0,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/THERMAX_PES_TDS_v1.0.pdf?v=1739974182,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
5 - composition undisclosed,M102,PPSU,Excluded,G102-01,3DXTECH,THERMAX PPSU,yes,Not published,Not published,X-THERMAX-PPSU-TDS-v3,https://cdn.shopify.com/s/files/1/0625/4185/6821/files/THERMAX_PPSU_TDS_v3.pdf?v=1723942766,cdn.shopify.com/s/files/1/0625/4185/6821/files/<PRODUCT>_TDS_v#.pdf - an SDS sibling is linked from www.3dxtech.com/products/<slug>
5 - composition undisclosed,M102,PPSU,Excluded,G102-02,iSANMATE,PPSU,no,Not published,Not published,I-PPSU-TDS,https://www.isanmate.com/wp-content/uploads/2022/09/PPSU_TDS.pdf,www.isanmate.com/wp-content/uploads/<yyyy>/<mm>/<Product>.pdf - the host is robots-disallowed to fetch tools; open it in a browser and keep the file
6 - composition disclosed on the data sheet,M002,PLA Basic,Official Bambu product,G002-01,Bambu Lab,PLA Basic,yes,PLA,"Flammable — verify grade, thickness and certificate; not assembly certification",B-pla-basic-filament-TDS,https://store.bblcdn.com/s1/default/58b85d0f3db94878854a28fdb8a0006e/Bambu_PLA_Basic_Technical_Data_Sheet.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M003,PLA Matte,Official Bambu product,G003-01,Bambu Lab,PLA Matte,yes,PLA,"Flammable — verify grade, thickness and certificate; not assembly certification",B-pla-matte-TDS,https://store.bblcdn.com/s7/default/5b061f2feeac4ba88f355a33248bbda7/Bambu_PLA_Matte_Technical_Data_Sheet.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M005,PLA Basic Gradient,Official Bambu product,G005-01,Bambu Lab,PLA Basic Gradient,yes,PLA,"Flammable and self-extinguishing in the air — verify grade, thickness and certificate; not assembly certification",B-pla-basic-gradient-TDS,https://cdn.shopify.com/s/files/1/0584/7236/6216/files/Bambu_PLA_Basic_Gradient_Technical_Data_Sheet.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M006,PLA Tough+,Official Bambu product,G006-01,Bambu Lab,PLA Tough+,yes,Polylactic acid,"Flammable — verify grade, thickness and certificate; not assembly certification",B-pla-tough-upgrade-TDS,https://store.bblcdn.com/s7/default/80a85371db2e40bda97069d283fed76c/BambuPLA_Tough_TechnicalData_Sheet_(2).pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M007,PLA Translucent,Official Bambu product,G007-01,Bambu Lab,PLA Translucent,yes,Polylactic acid,"Flammable — verify grade, thickness and certificate; not assembly certification",B-pla-translucent-TDS,https://store.bblcdn.com/s7/default/729a8bf233e9474db25c8d5be1e64a00/Bambu_PLA_Translucent_Technical_Data_Sheet.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M008,PLA Silk,Theoretical,G008-02,eSUN,PLA-Silk,no,"Silk-effect PLA; ""modified based on PLA material"" (TDS)",Not published,S-ESUN-PLA-Silk-TDS-2025-06-19,https://www.esun3d.com/media/esun/catalog/certification/product/PLA-Silk/PLA-Silk_TDS_2025.06.19.pdf,www.esun3d.com/media/esun/catalog/certification/product/<Product>/... - the folder is already called certification
6 - composition disclosed on the data sheet,M009,PLA Silk+,Official Bambu product,G009-01,Bambu Lab,PLA Silk+,yes,Polylactic acid,"Flammable — verify grade, thickness and certificate; not assembly certification",B-pla-silk-upgrade-TDS,https://cdn.shopify.com/s/files/1/0584/7236/6216/files/Bambu_PLA_Silk__Technical_Data_Sheet.pdf?v=1733472353,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M010,PLA Silk Dual Color,Official Bambu product,G010-01,Bambu Lab,PLA Silk Dual Color,yes,Polylactic acid,"Flammable — verify grade, thickness and certificate; not assembly certification",B-pla-silk-dual-color-TDS,https://cdn.shopify.com/s/files/1/0584/7236/6216/files/Bambu_PLA_Silk_Dual_Color_Technical_Data_Sheet.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M011,PLA Metal,Official Bambu product,G011-01,Bambu Lab,PLA Metal,yes,PLA,"Flammable — verify grade, thickness and certificate; not assembly certification",B-pla-metal-TDS,https://store.bblcdn.com/c6c28a13ba294c6f9fe62755ec9188fa.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M012,PLA Marble,Official Bambu product,G012-01,Bambu Lab,PLA Marble,yes,PLA,"Flammable — verify grade, thickness and certificate; not assembly certification",B-pla-marble-TDS,https://store.bblcdn.com/b81e083c7d1f4e2182ef749d48f9ec86.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M013,PLA Sparkle,Official Bambu product,G013-01,Bambu Lab,PLA Sparkle,yes,PLA,Not published,B-pla-sparkle-TDS,https://store.bblcdn.com/169532c9ce4d4610a9e85d92c0222bb9.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M014,PLA Wood,Official Bambu product,G014-01,Bambu Lab,PLA Wood,yes,Polylactic acid,"Flammable — verify grade, thickness and certificate; not assembly certification",B-pla-wood-TDS,https://store.bblcdn.com/s4/default/6fda0ae88e5a4e66bb5d58f2968eee42/Bambus_PLA_Wood_Technical_Data_Sheet.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M015,PLA Galaxy,Official Bambu product,G015-01,Bambu Lab,PLA Galaxy,yes,Polylactic acid,"Flammable — verify grade, thickness and certificate; not assembly certification",B-pla-galaxy-TDS,https://store.bblcdn.com/8f0b6b2741e3498689c2c7706374c482.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M016,PLA Glow,Official Bambu product,G016-01,Bambu Lab,PLA Glow,yes,Polylactic acid,"Flammable — verify grade, thickness and certificate; not assembly certification",B-pla-glow-TDS,https://store.bblcdn.com/cd34cf072d14484bbf027290d16abe9b.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M017,PLA Aero,Official Bambu product,G017-01,Bambu Lab,PLA Aero,yes,Polylactic acid,"Flammable — verify grade, thickness and certificate; not assembly certification",B-pla-aero-TDS,https://store.bblcdn.com/cbc8b808aaf84ead9bb3b0b9b43e66af.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M018,PLA-CF,Official Bambu product,G018-01,Bambu Lab,PLA-CF,yes,"Polylactic acid, carbon fiber","Flammable — verify grade, thickness and certificate; not assembly certification",B-pla-cf-TDS,https://store.bblcdn.com/842f399d4e274507953a5231126ec8c1.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M021,PETG Basic,Official Bambu product,G021-01,Bambu Lab,PETG Basic,yes,PETG,"Flammable — verify grade, thickness and certificate; not assembly certification",B-petg-basic-TDS,https://store.bblcdn.com/s1/default/cb94589bf7994fdcbfa833badefae9cd/Bambu_PETG_Basic_Technical_Data_Sheet.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M022,PETG HF,Official Bambu product,G022-01,Bambu Lab,PETG HF,yes,PETG,"Flammable — verify grade, thickness and certificate; not assembly certification",B-petg-hf-TDS,https://store.bblcdn.com/3a230e260a3a47c2b0db0156e07eef91.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M023,PETG Translucent,Official Bambu product,G023-01,Bambu Lab,PETG Translucent,yes,PETG,"Flammable — verify grade, thickness and certificate; not assembly certification",B-petg-translucent-TDS,https://store.bblcdn.com/s1/default/338c9cd853fd44d9b6ed354a49048e72/Bambu_PETG_Translucent_Technical_Data_Sheet.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M024,PETG-CF,Official Bambu product,G024-01,Bambu Lab,PETG-CF,yes,"PETG, carbon fiber","Flammable — verify grade, thickness and certificate; not assembly certification",B-petg-cf-TDS,https://store.bblcdn.com/626e4f424bf345ae965ad0ddfcaf2459.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M024,PETG-CF,Official Bambu product,G024-02,Polymaker (Fiberon),Fiberon PETG-rCF08,no,Recycled carbon-fibre reinforced PETG; the product designation states 8 % recycled carbon fibre (TDS p. 1). Recycled fibre is not a declared variant class in this database,"UL 94 HB at 1.5 mm (TDS p. 1, Flame retardancy); verify colour, thickness and certificate. Not printed-part certification",R-FIBERON-PETGRCF08-TDS,https://polymaker.com/wp-content/uploads/lana-downloads/TDS_FIBERON-PETG-rCF08_V1.0_EN.pdf,polymaker.com/wp-content/uploads/lana-downloads/TDS_FIBERON-<Product>_V#_EN.pdf; product pages at fiberon.polymaker.com/product/<slug>
6 - composition disclosed on the data sheet,M025,PETG-GF,Officially listed family,G025-02,Eryone,PETG-GF,yes,PETG with 10% glass fibre (TDS),Not published,R-ERYONE-PETG-GF-TDS,https://file.globalso.com/file_manage/3828/20250630/eryone-petg-gf-tds.pdf,not recorded; start from the product page
6 - composition disclosed on the data sheet,M027,ABS,Official Bambu product,G027-01,Bambu Lab,ABS,yes,ABS,"Flammable — verify grade, thickness and certificate; not assembly certification",B-abs-filament-TDS,https://store.bblcdn.com/s7/default/23b4cf2b83d5470bb96d19970b5f3ae8/Bambu_ABS_Technical_Data_Sheet_V3.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M027,ABS,Official Bambu product,G027-02,Polymaker,PolyLite ABS,no,Bulk-polymerized ABS resin with a lower volatile content than traditional ABS resins (TDS p. 2); no filler disclosed,Not published,S-POLYCN-PolyLite-ABS-TDS-V5-3,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/PolyLite_ABS_TDS_V5.3.pdf,cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/<Product>_TDS_V#.pdf - the documents tree of wiki.polymaker.com is the index
6 - composition disclosed on the data sheet,M028,ABS-GF,Official Bambu product,G028-01,Bambu Lab,ABS-GF,yes,"Acrylonitrile - butadiene - styrene, glass fiber","Flammable — verify grade, thickness and certificate; not assembly certification",B-abs-gf-TDS,https://store.bblcdn.com/69f0758087c943f8a0a87bffa6dc901b.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M031,ASA,Official Bambu product,G031-01,Bambu Lab,ASA,yes,acrylonitrile - styrene - acrylate,"Flammable — verify grade, thickness and certificate; not assembly certification",B-asa-filament-TDS,https://store.bblcdn.com/ad7b08230c164e72856cffbe06bb7dc9.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M031,ASA,Official Bambu product,G031-02,Polymaker,PolyLite ASA,no,"ASA, described as an alternative to ABS with improved weather and UV resistance (TDS p. 2); no filler disclosed",Not published,S-POLYCN-PolyLite-ASA-TDS-V5-3,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/PolyLite_ASA_TDS_V5.3.pdf,cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/<Product>_TDS_V#.pdf - the documents tree of wiki.polymaker.com is the index
6 - composition disclosed on the data sheet,M032,ASA Aero,Official Bambu product,G032-01,Bambu Lab,ASA Aero,yes,acrylonitrile - styrene - acrylate,"Flammable — verify grade, thickness and certificate; not assembly certification",B-asa-aero-TDS,https://store.bblcdn.com/s1/default/02b005fdf02d450084e3128f7cf0c36f/Bambu_ASA_Aero_Technical_Data_Sheet.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M033,ASA-CF,Official Bambu product,G033-01,Bambu Lab,ASA-CF,yes,acrylonitrile - styrene - acrylate,"Flammable — verify grade, thickness and certificate; not assembly certification",B-asa-cf-TDS,https://store.bblcdn.com/s7/default/44b0a48ab1d84e819647c980eb179ae9/Bambus_ASA-CF_Technical_Data_Sheet.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M034,ASA-GF,Officially listed family,G034-03,IPCON,IPCON ASA GF,yes,ASA with glass fibre (fraction not published),Not published,R-IPCON-ASA-GF-TDS,https://www.ipconpolymer.com/wp-content/uploads/2026/06/IPCON-ASA-GF_TDS-Technical-Data-Sheet_V1.0.pdf,not recorded; start from the product page
6 - composition disclosed on the data sheet,M034,ASA-GF,Officially listed family,G034-04,Flashforge,ASAGF10,no,Modified ASA with 10% glass fibre (TDS),Not published,R-FLASHFORGE-ASA-GF10-TDS,https://after-support.flashforge.jp/uploads/datasheet/tds/ASA_GF_TDS_EN.pdf,www.flashforge.com/products/<slug>
6 - composition disclosed on the data sheet,M035,PC,Official Bambu product,G035-01,Bambu Lab,PC,yes,PC,"Flammable and self-extinguishing in the air — verify grade, thickness and certificate; not assembly certification",B-PC-TDS,https://store.bblcdn.com/a52afdccddfd448583d119587122c8c5.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M035,PC,Official Bambu product,G035-02,Polymaker,PolyLite PC,no,"Polycarbonate resin engineered for 3D printing, with light-diffusing properties (TDS p. 2); no filler disclosed",Not published,S-POLYCN-PolyLite-PC-TDS-V5-3,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/PolyLite_PC_TDS_V5.3.pdf,cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/<Product>_TDS_V#.pdf - the documents tree of wiki.polymaker.com is the index
6 - composition disclosed on the data sheet,M036,PC FR,Official Bambu product,G036-01,Bambu Lab,PC FR,yes,Polycarbonate,Not published,B-pc-fr-TDS,https://store.bblcdn.com/s1/default/4adf3c9827a0475d8777e9b8cfd11fbe.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M036,PC FR,Official Bambu product,G036-02,Polymaker,PolyMax PC-FR,no,Flame-retardant polycarbonate from Covestro's Makrolon family (TDS p. 2); the retardant is not disclosed,"UL94 V0 (TDS p. 2, Flame retardancy); verify colour, thickness and certificate. Not printed-part certification",S-POLYCN-PolyMax-PC-FR-TDS-V5-1,https://cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/PolyMax_PC_FR_TDS_V5.1.pdf,cdn.polymaker.com.cn/wp-content/uploads/lana-downloads/<Product>_TDS_V#.pdf - the documents tree of wiki.polymaker.com is the index
6 - composition disclosed on the data sheet,M038,PC-GF,Officially listed family,G038-02,BASF Forward AM,Ultrafuse PC GF30,yes,Polycarbonate with 30% glass fibre,"UL 94 V0 at 1.5 mm and 3.0 mm; verify colour, thickness and certificate",R-BASF-PCGF30-TDS,https://forward-am.com/wp-content/uploads/2021/12/Ultrafuse_PC_GF30_TDS_EN_v1.2.pdf,move.forward-am.com/hubfs/AES Documentation/<Category>/<Product>/TDS/... - look for an /SDS/ sibling folder
6 - composition disclosed on the data sheet,M040,TPU for AMS,Official Bambu product,G040-01,Bambu Lab,TPU for AMS,yes,Thermoplastic polyurethane,"Flammable — verify grade, thickness and certificate; not assembly certification",B-tpu-for-ams-TDS,https://store.bblcdn.com/s5/default/0a98353dce6d486ca848b21d2b19a207.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M041,TPU 95A HF,Official Bambu product,G041-01,Bambu Lab,TPU 95A HF,yes,Thermoplastic polyurethane,"Flammable — verify grade, thickness and certificate; not assembly certification",B-tpu-95a-hf-TDS,https://store.bblcdn.com/58df32731eab4c90a7dac9b12e13ba88.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M042,TPU 90A,Official Bambu product,G042-01,Bambu Lab,TPU 90A,yes,Thermoplastic polyurethane,"Flammable — verify grade, thickness and certificate; not assembly certification",B-TPU-SOFT-TDS-4,https://cdn.shopify.com/s/files/1/0645/5876/0155/files/Bambu_TPU_90A_Technical_Data_Sheet_582bf8f6-1f0a-474c-aeda-9e72af3689dc.pdf?v=1741314674,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M043,TPU 85A,Official Bambu product,G043-01,Bambu Lab,TPU 85A,yes,Thermoplastic polyurethane,"Flammable — verify grade, thickness and certificate; not assembly certification",B-TPU-SOFT-TDS-5,https://cdn.shopify.com/s/files/1/0645/5876/0155/files/Bambu_TPU_85A_Technical_Data_Sheet_a7233668-497b-487f-af8a-3adb49fafaa1.pdf?v=1741314674,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M045,PEBA,Theoretical,G045-03,Kimya / Airtech Europe,Kimya PEBA-S,no,"PEBA (polyether block amide), unfilled",Not published,R-KIMYA-PEBA-S-TDS,https://www.samaro.fr/app/uploads/2026/09/ba38ba38d87e28552202938c4c1cc670d8ef6fea3287_Kimya_PEBA_S_3D_Filament_EN.pdf,not recorded; start from the product page
6 - composition disclosed on the data sheet,M045,PEBA,Theoretical,G045-04,Fillamentum,Flexfill PEBA 90A,no,"Polyether-block-amide (PEBA), no plasticizer (TDS)",Not published,R-FILLAMENTUM-FLEXFILL-PEBA-90A-TDS,https://fillamentum.com/wp-content/uploads/2020/10/TDS_Flexfill-PEBA-90A_EN.pdf,fillamentum.com/wp-content/uploads/<yyyy>/<mm>/TDS_<Product>.pdf
6 - composition disclosed on the data sheet,M046,TPC / TPEE,Theoretical,G046-02,Kimya / Airtech Europe,Kimya TPC-91A,no,"Thermoplastic copolyester elastomer (TPE-C), Shore 91A (TDS)",Not published,R-KIMYA-TPC-91A-TDS,https://f.hubspotusercontent20.net/hubfs/7196278/Datasheets/Kimya/Kimya_TPC-91A_Technical_Data_Sheet.pdf,not recorded; start from the product page
6 - composition disclosed on the data sheet,M046,TPC / TPEE,Theoretical,G046-03,DSM,Arnitel ID 2045,no,"Thermoplastic copolyester (TPC), >50% renewable content, Shore D 34 (sheet)",Not published,R-DSM-ARNITEL-ID2045-TDS,https://www.matterhackers.com/r/kVK5ym,not recorded; start from the product page
6 - composition disclosed on the data sheet,M048,PAHT-CF,Official Bambu product,G048-01,Bambu Lab,PAHT-CF,yes,"PA 12 and other long-chain PA, carbon fiber","Flammable — verify grade, thickness and certificate; not assembly certification",B-paht-cf-TDS,https://store.bblcdn.com/7166b20bc68f4c87b32c972b856eeb4b.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M048,PAHT-CF,Official Bambu product,G048-02,BASF Forward AM,Ultrafuse PAHT CF15,no,"High-temperature polyamide filled with 15 % carbon fibres (TDS p. 1, Components)",ESD-safe claimed at a surface resistivity of 1e5 to 1e11 ohm (TDS p. 1); no printed-part certification stated,R-FORWARDAM-PAHT-CF15-TDS-v4-0,https://forward-am.com/wp-content/uploads/2024/10/Ultrafuse_PAHT_CF15_TDS_EN_v3.5-1.pdf,move.forward-am.com/hubfs/AES Documentation/<Category>/<Product>/TDS/... - look for an /SDS/ sibling folder
6 - composition disclosed on the data sheet,M049,PA6,Theoretical,G049-02,FormFutura,STYX PA6,no,"PA6 (nylon) filament, ""Low warping PA6 filament"" (TDS); no filler or additive disclosed, and its 1.15 g/cm³ and 2.9 GPa are within neat PA6","Flammability UL-94 V2 at 1.5 mm (TDS ""Flammability"" row); a typical value, not a certificate: verify grade, thickness and certificate",R-FORMFUTURA-STYX-PA6-TDS,https://www.formfutura.com/web/content/281451?download=true,www.formfutura.com/web/content/<opaque id>?download=true - not constructible; take the link from the product page
6 - composition disclosed on the data sheet,M050,PA6-CF,Official Bambu product,G050-01,Bambu Lab,PA6-CF,yes,"Nylon 6, carbon fiber","Flammable — verify grade, thickness and certificate; not assembly certification",B-pa6-cf-TDS,https://store.bblcdn.com/b2abc59ac250492b979a52f1ce3e61b3.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
6 - composition disclosed on the data sheet,M051,PA6-GF,Official Bambu product,G051-01,Bambu Lab,PA6-GF,yes,"Nylon 6, glass fiber","Flammable — verify grade, thickness and certificate; not assembly certification",B-pa6-gf-TDS,https://store.bblcdn.com/s5/default/f0317db8b3f44d0486553c1e214cff9d.pdf,store.bblcdn.com/<opaque hash>/<Name>.pdf - not constructible; take the SDS link from the product page at ca.store.bambulab.com/products/<slug>
