SourceID,Page,Value,Uncertainty,Unit,Line
R-DUPONT-ZYTEL-GUIDE,16,45,,MPa,"Temperature of deflection under load 0,45 MPa 75-1/-2 ° C 255260"
R-DUPONT-ZYTEL-GUIDE,16,8,,MPa,"1,8 MPa 250252"
R-DUPONT-ZYTEL-GUIDE,16,23,,°C,"Parallel (in flow direction) 23 ° C-55 ° C 11359-210 / ° C 0,2"
R-DUPONT-ZYTEL-GUIDE,16,23,,°C,"Normal (perpendicular to flow) 23 ° C-55 ° C 0,8"
R-DUPONT-ZYTEL-GUIDE,16,23,,°C,Comparative tracking index 23 ° C  §  V
R-DUPONT-ZYTEL-GUIDE,16,23,,°C,"Electric strength (dielectric strength) 1 mm, 23 ° C  §  kV/mm"
R-DUPONT-ZYTEL-GUIDE,16,23,,°C,Surface resistivity 23 ° C  §  ohm
R-DUPONT-ZYTEL-GUIDE,16,23,,°C,Volume resistivity 23 ° C  §  ohm · m 10
R-DUPONT-ZYTEL-GUIDE,16,23,,°C,"Relative permittivity 10 Hz, 1 mm, 23 ° C  §  4,3"
R-DUPONT-ZYTEL-GUIDE,16,23,,°C,"10 Hz, 1 mm, 23 ° C"
R-DUPONT-ZYTEL-GUIDE,16,23,,°C,"Dissipation factor 10 Hz, 1 mm, 23 ° C  §  1060"
R-DUPONT-ZYTEL-GUIDE,16,23,,°C,"10 Hz, 1 mm, 23 ° C"
R-DUPONT-ZYTEL-GUIDE,16,23,,°C,"Water absorption Equilibrium, 50% RH, 23 ° C Similar % 1,7"
R-DUPONT-ZYTEL-GUIDE,16,23,,°C,"Saturation, immersed, 23 ° C to  §  5,5"
R-DUPONT-ZYTEL-GUIDE,16,23,,°C,"Rockwell hardness Scale M, 23 ° C 2039/2"
R-DUPONT-ZYTEL-GUIDE,16,23,,°C,"Scale R, 23 ° C"
R-DUPONT-ZYTEL-GUIDE,16,3023,,°C,Ball indentation hardness H 358/3023 ° C 2039-1 MPa
R-DUPONT-ZYTEL-GUIDE,16,3023,,°C,H 961/3023 ° C
R-DUPONT-ZYTEL-GUIDE,18,23,,°C,"Yield stress 50 mm/min, 23 ° C 527-1/-2 MPa"
R-DUPONT-ZYTEL-GUIDE,18,23,,°C,"Yield strain 50 mm/min, 23 ° C 527-1/-2 %"
R-DUPONT-ZYTEL-GUIDE,18,23,,°C,"Stress at break (tensile) 5 mm/min, 23 ° C 527-1/-2 MPa 1187011070"
R-DUPONT-ZYTEL-GUIDE,18,23,,°C,"Strain at break (tensile) 5 mm/min, 23 ° C 527-1/-2 % 410410"
R-DUPONT-ZYTEL-GUIDE,18,23,,°C,"50 mm/min, 23 ° C"
R-DUPONT-ZYTEL-GUIDE,18,23,,°C,"Nominal strain at break 50 mm/min, 23 ° C 527-1/-2 %"
R-DUPONT-ZYTEL-GUIDE,18,23,,°C,"Tensile modulus 1 mm/min, 23 ° C 527-1/-2 MPa 5100370051003400"
R-DUPONT-ZYTEL-GUIDE,18,23,,°C,Charpy impact strength (unnotched) 23 ° C 179/1eU kJ/m 67607075
R-DUPONT-ZYTEL-GUIDE,18,30,,°C,– 30 ° C 59548590
R-DUPONT-ZYTEL-GUIDE,18,23,,°C,Charpy impact strength (notched) 23 ° C 179/1eA kJ/m 8141820
R-DUPONT-ZYTEL-GUIDE,18,30,,°C,– 30 ° C 66109
R-DUPONT-ZYTEL-GUIDE,18,23,,°C,Izod impact strength (notched) 23 ° C 180/1A kJ/m 891420
R-DUPONT-ZYTEL-GUIDE,18,30,,°C,– 30 ° C 6477
R-DUPONT-ZYTEL-GUIDE,18,45,,MPa,"Temperature of deflection under load 0,45 MPa 75-1/-2 ° C 260255"
R-DUPONT-ZYTEL-GUIDE,18,8,,MPa,"1,8 MPa 242240"
R-DUPONT-ZYTEL-GUIDE,18,23,,°C,"Parallel (in flow direction) 23 ° C-55 ° C 11359-210 / ° C 0,50,39"
R-DUPONT-ZYTEL-GUIDE,18,23,,°C,"Normal (perpendicular to flow) 23 ° C-55 ° C 1,31,2"
R-DUPONT-ZYTEL-GUIDE,18,23,,°C,Comparative tracking index 23 ° C  §  V 475600
R-DUPONT-ZYTEL-GUIDE,18,23,,°C,"Electric strength (dielectric strength) 1 mm, 23 ° C  §  kV/mm 37353636,5"
R-DUPONT-ZYTEL-GUIDE,18,23,,°C,Surface resistivity 23 ° C  §  ohm >1010 >1010
R-DUPONT-ZYTEL-GUIDE,18,23,,°C,Volume resistivity 23 ° C  §  ohm · m >10101010
R-DUPONT-ZYTEL-GUIDE,18,23,,°C,"Relative permittivity 10 Hz, 1 mm, 23 ° C  §  3,99,83,87,3"
R-DUPONT-ZYTEL-GUIDE,18,23,,°C,"ELECTRICAL 10 Hz, 1 mm, 23 ° C 3,74,53,53,9"
R-DUPONT-ZYTEL-GUIDE,18,23,,°C,"Dissipation factor 10 Hz, 1 mm, 23 ° C  §  1065250070180"
R-DUPONT-ZYTEL-GUIDE,18,23,,°C,"10 Hz, 1 mm, 23 ° C 130660150580"
R-DUPONT-ZYTEL-GUIDE,18,23,,°C,"Water absorption Equilibrium, 50% RH, 23 ° C Similar % 2,22"
R-DUPONT-ZYTEL-GUIDE,18,23,,°C,"Saturation, immersed, 23 ° C to  §  6,56,2"
R-DUPONT-ZYTEL-GUIDE,18,23,,°C,"Rockwell hardness Scale M, 23 ° C 2039/29074103"
R-DUPONT-ZYTEL-GUIDE,18,23,,°C,"Scale R, 23 ° C 120110"
R-DUPONT-ZYTEL-GUIDE,18,3023,,°C,Ball indentation hardness H 358/3023 ° C 2039-1 MPa
R-DUPONT-ZYTEL-GUIDE,18,3023,,°C,H 961/3023 ° C 180100
R-DUPONT-ZYTEL-GUIDE,20,23,,°C,"Yield stress 50 mm/min, 23 ° C 527-1/-2 MPa"
R-DUPONT-ZYTEL-GUIDE,20,23,,°C,"Yield strain 50 mm/min, 23 ° C 527-1/-2 %"
R-DUPONT-ZYTEL-GUIDE,20,23,,°C,"Stress at break (tensile) 5 mm/min, 23 ° C 527-1/-2 MPa 8510135100"
R-DUPONT-ZYTEL-GUIDE,20,23,,°C,"Strain at break (tensile) 5 mm/min, 23 ° C 527-1/-2 % 14852,53,5"
R-DUPONT-ZYTEL-GUIDE,20,23,,°C,"50 mm/min, 23 ° C 10"
R-DUPONT-ZYTEL-GUIDE,20,23,,°C,"Nominal strain at break 50 mm/min, 23 ° C 527-1/-2 % 745"
R-DUPONT-ZYTEL-GUIDE,20,23,,°C,"Tensile modulus 1 mm/min, 23 ° C 527-1/-2 MPa 3750190092006500"
R-DUPONT-ZYTEL-GUIDE,20,23,,°C,Charpy impact strength (unnotched) 23 ° C 179/1eU kJ/m 805560
R-DUPONT-ZYTEL-GUIDE,20,30,,°C,– 30 ° C 7060
R-DUPONT-ZYTEL-GUIDE,20,23,,°C,Charpy impact strength (notched) 23 ° C 179/1eA kJ/m 491214
R-DUPONT-ZYTEL-GUIDE,20,30,,°C,– 30 ° C 119
R-DUPONT-ZYTEL-GUIDE,20,23,,°C,Izod impact strength (notched) 23 ° C 180/1A kJ/m 44913
R-DUPONT-ZYTEL-GUIDE,20,30,,°C,– 30 ° C 88
R-DUPONT-ZYTEL-GUIDE,20,45,,MPa,"Temperature of deflection under load 0,45 MPa 75-1/-2 ° C 230240"
R-DUPONT-ZYTEL-GUIDE,20,8,,MPa,"1,8 MPa 70215"
R-DUPONT-ZYTEL-GUIDE,20,23,,°C,"Parallel (in flow direction) 23 ° C-55 ° C 11359-210 / ° C 0,2"
R-DUPONT-ZYTEL-GUIDE,20,23,,°C,"Normal (perpendicular to flow) 23 ° C-55 ° C 1,06"
R-DUPONT-ZYTEL-GUIDE,20,23,,°C,Comparative tracking index 23 ° C  §  V 325
R-DUPONT-ZYTEL-GUIDE,20,23,,°C,"Electric strength (dielectric strength) 1 mm, 23 ° C  §  kV/mm 3525"
R-DUPONT-ZYTEL-GUIDE,20,23,,°C,Surface resistivity 23 ° C  §  ohm
R-DUPONT-ZYTEL-GUIDE,20,23,,°C,Volume resistivity 23 ° C  §  ohm · m >10
R-DUPONT-ZYTEL-GUIDE,20,23,,°C,"Relative permittivity 10 Hz, 1 mm, 23 ° C  §  4,5"
R-DUPONT-ZYTEL-GUIDE,20,23,,°C,"10 Hz, 1 mm, 23 ° C 4,4"
R-DUPONT-ZYTEL-GUIDE,20,23,,°C,"Dissipation factor 10 Hz, 1 mm, 23 ° C  §  10180"
R-DUPONT-ZYTEL-GUIDE,20,23,,°C,"10 Hz, 1 mm, 23 ° C 130"
R-DUPONT-ZYTEL-GUIDE,20,23,,°C,"Water absorption Equilibrium, 50% RH, 23 ° C Similar % 2,61,1"
R-DUPONT-ZYTEL-GUIDE,20,23,,°C,"Saturation, immersed, 23 ° C to  §  6,44,1"
R-DUPONT-ZYTEL-GUIDE,20,23,,°C,"Rockwell hardness Scale M, 23 ° C 2039/2"
R-DUPONT-ZYTEL-GUIDE,20,23,,°C,"Scale R, 23 ° C"
R-DUPONT-ZYTEL-GUIDE,20,3023,,°C,Ball indentation hardness H 358/3023 ° C 2039-1 MPa
R-DUPONT-ZYTEL-GUIDE,20,3023,,°C,H 961/3023 ° C 213106
R-DUPONT-ZYTEL-GUIDE,22,23,,°C,"Yield stress 50 mm/min, 23 ° C 527-1/-2 MPa 85558652"
R-DUPONT-ZYTEL-GUIDE,22,23,,°C,"Yield strain 50 mm/min, 23 ° C 527-1/-2 % 4,428527"
R-DUPONT-ZYTEL-GUIDE,22,23,,°C,"Stress at break (tensile) 5 mm/min, 23 ° C 527-1/-2 MPa"
R-DUPONT-ZYTEL-GUIDE,22,23,,°C,"Strain at break (tensile) 5 mm/min, 23 ° C 527-1/-2 %"
R-DUPONT-ZYTEL-GUIDE,22,23,,°C,"50 mm/min, 23 ° C"
R-DUPONT-ZYTEL-GUIDE,22,23,,°C,"Nominal strain at break 50 mm/min, 23 ° C 527-1/-2 % 50 >50 >50 >50"
R-DUPONT-ZYTEL-GUIDE,22,23,,°C,"Tensile modulus 1 mm/min, 23 ° C 527-1/-2 MPa 3000120031001200"
R-DUPONT-ZYTEL-GUIDE,22,23,,°C,Charpy impact strength (unnotched) 23 ° C 179/1eU kJ/m NB NB NB NB
R-DUPONT-ZYTEL-GUIDE,22,30,,°C,– 30 ° C NB NB NB NB
R-DUPONT-ZYTEL-GUIDE,22,23,,°C,Charpy impact strength (notched) 23 ° C 179/1eA kJ/m 620620
R-DUPONT-ZYTEL-GUIDE,22,30,,°C,– 30 ° C 4354
R-DUPONT-ZYTEL-GUIDE,22,23,,°C,"Izod impact strength (notched) 23 ° C 180/1A kJ/m 5,612,65,512"
R-DUPONT-ZYTEL-GUIDE,22,30,,°C,"– 30 ° C 324,54"
R-DUPONT-ZYTEL-GUIDE,22,45,,MPa,"Temperature of deflection under load 0,45 MPa 75-1/-2 ° C 205205"
R-DUPONT-ZYTEL-GUIDE,22,8,,MPa,"1,8 MPa 7272"
R-DUPONT-ZYTEL-GUIDE,22,23,,°C,Parallel (in flow direction) 23 ° C-55 ° C 11359-210 / ° C 111
R-DUPONT-ZYTEL-GUIDE,22,23,,°C,Normal (perpendicular to flow) 23 ° C-55 ° C 111
R-DUPONT-ZYTEL-GUIDE,22,23,,°C,Comparative tracking index 23 ° C  §  V 600
R-DUPONT-ZYTEL-GUIDE,22,23,,°C,"Electric strength (dielectric strength) 1 mm, 23 ° C  §  kV/mm 30,5"
R-DUPONT-ZYTEL-GUIDE,22,23,,°C,Surface resistivity 23 ° C  §  ohm 10
R-DUPONT-ZYTEL-GUIDE,22,23,,°C,Volume resistivity 23 ° C  §  ohm · m 101010
R-DUPONT-ZYTEL-GUIDE,22,23,,°C,"Relative permittivity 10 Hz, 1 mm, 23 ° C  §  3,94,310,3"
R-DUPONT-ZYTEL-GUIDE,22,23,,°C,"ELECTRICAL 10 Hz, 1 mm, 23 ° C 3,64,2"
R-DUPONT-ZYTEL-GUIDE,22,23,,°C,"Dissipation factor 10 Hz, 1 mm, 23 ° C  §  101001502000"
R-DUPONT-ZYTEL-GUIDE,22,23,,°C,"10 Hz, 1 mm, 23 ° C 240750"
R-DUPONT-ZYTEL-GUIDE,22,23,,°C,"Water absorption Equilibrium, 50% RH, 23 ° C Similar % 2,72,7"
R-DUPONT-ZYTEL-GUIDE,22,23,,°C,"Saturation, immersed, 23 ° C to  §  8,58,5"
R-DUPONT-ZYTEL-GUIDE,22,23,,°C,"Rockwell hardness Scale M, 23 ° C 2039/2"
R-DUPONT-ZYTEL-GUIDE,22,23,,°C,"Scale R, 23 ° C"
R-DUPONT-ZYTEL-GUIDE,22,3023,,°C,Ball indentation hardness H 358/3023 ° C 2039-1 MPa
R-DUPONT-ZYTEL-GUIDE,22,3023,,°C,H 961/3023 ° C
