sheet,row,record,column,class,workbook,displayed,now,note
Properties,311,V000308,Post-processing,text cleanup (m07),All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for 8 h before testing,
Properties,311,V000308,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,312,V000309,Post-processing,text cleanup (m07),All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for 8 h before testing,
Properties,312,V000309,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,313,V000310,Post-processing,text cleanup (m07),All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for 8 h before testing,
Properties,313,V000310,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,314,V000311,Post-processing,text cleanup (m07),All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for 8 h before testing,
Properties,314,V000311,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,315,V000312,Post-processing,text cleanup (m07),All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for 8 h before testing,
Properties,315,V000312,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,316,V000313,Post-processing,text cleanup (m07),All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for 8 h before testing,
Properties,316,V000313,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,317,V000314,Post-processing,text cleanup (m07),All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for 8 h before testing,
Properties,317,V000314,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,318,V000315,Post-processing,text cleanup (m07),All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for 8 h before testing,
Properties,318,V000315,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,319,V000316,Post-processing,text cleanup (m07),All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for 8 h before testing,
Properties,319,V000316,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,320,V000317,Post-processing,text cleanup (m07),All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for 8 h before testing,
Properties,320,V000317,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,321,V000318,Post-processing,text cleanup (m07),All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for 8 h before testing,
Properties,321,V000318,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,322,V000319,Post-processing,text cleanup (m07),All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for 8 h before testing,
Properties,322,V000319,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,323,V000320,Post-processing,text cleanup (m07),All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for 8 h before testing,
Properties,323,V000320,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,324,V000321,Post-processing,text cleanup (m07),All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for 8 h before testing,
Properties,324,V000321,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,325,V000322,Post-processing,text cleanup (m07),All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for8 h before testing,All the specimens were annealed and dried at 55 °C for 8 h before testing,
Properties,325,V000322,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing","Specimen Printing Conditions Subjects Data Nozzle Temperature 210 °C Bed Temperature 35 °C Printing Speed 150 mm/s InfillDensity 100% *All the specimens were annealed and dried at 55 °C for 8 h before testing. And the suggested annealing temperature of models printed with Bambu PLA Aero is50 to 55 °C, and the time is6 to 12 hours. The annealing effect depends on the annealing",
Properties,329,V000326,Normalized value,"formula cached text, STALE: kept as the build read it",Not published,Not published,Not published,
Properties,384,V000381,Raw value,text cleanup (m07),＜0.8,＜0.8,<0.8,
Properties,395,V000392,Normalized value,"formula cached text, STALE: kept as the build read it",Not published,Not published,Not published,
Properties,396,V000393,Normalized value,"formula cached text, STALE: kept as the build read it",Not published,Not published,Not published,
Properties,400,V000397,Normalized value,"formula cached text, STALE: kept as the build read it",Not published,Not published,Not published,
Properties,408,V000405,Normalized value,"formula cached text, STALE: kept as the build read it",Not published,Not published,Not published,
Properties,410,V000407,Normalized value,"formula cached text, STALE: kept as the build read it",Not published,Not published,Not published,
Properties,412,V000409,Normalized value,"formula cached text, STALE: kept as the build read it",Not published,Not published,Not published,
Properties,422,V000419,Normalized value,"formula cached text, STALE: kept as the build read it",Insufficient comparable data,Insufficient comparable data,Insufficient comparable data,
Properties,423,V000420,Normalized value,"formula cached text, STALE: kept as the build read it",Insufficient comparable data,Insufficient comparable data,Insufficient comparable data,
Properties,426,V000423,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 255 °C Bed Temperature 70 °C Printing Speed 150 mm/s Infill Density 100% All the specimens were printed at the following settings: X1-Carbon，Nozzle Temperature = 255 °C, Printing Speed = 150 mm/s, Bed Temperature = 70 °C, Infill Density = 100%. It's not recommended to anneal prints of PETG Basic, because only very","Specimen Printing Conditions Subjects Data Nozzle Temperature 255 °C Bed Temperature 70 °C Printing Speed 150 mm/s Infill Density 100% All the specimens were printed at the following settings: X1-Carbon，Nozzle Temperature = 255 °C, Printing Speed = 150 mm/s, Bed Temperature = 70 °C, Infill Density = 100%. It's not recommended to anneal prints of PETG Basic, because only very","Specimen Printing Conditions Subjects Data Nozzle Temperature 255 °C Bed Temperature 70 °C Printing Speed 150 mm/s Infill Density 100% All the specimens were printed at the following settings: X1-Carbon, Nozzle Temperature = 255 °C, Printing Speed = 150 mm/s, Bed Temperature = 70 °C, Infill Density = 100%. It's not recommended to anneal prints of PETG Basic, because only very",
Properties,427,V000424,Normalized value,"formula cached text, STALE: kept as the build read it",Not published,Not published,Not published,
Properties,427,V000424,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 255 °C Bed Temperature 70 °C Printing Speed 150 mm/s Infill Density 100% All the specimens were printed at the following settings: X1-Carbon，Nozzle Temperature = 255 °C, Printing Speed = 150 mm/s, Bed Temperature = 70 °C, Infill Density = 100%. It's not recommended to anneal prints of PETG Basic, because only very","Specimen Printing Conditions Subjects Data Nozzle Temperature 255 °C Bed Temperature 70 °C Printing Speed 150 mm/s Infill Density 100% All the specimens were printed at the following settings: X1-Carbon，Nozzle Temperature = 255 °C, Printing Speed = 150 mm/s, Bed Temperature = 70 °C, Infill Density = 100%. It's not recommended to anneal prints of PETG Basic, because only very","Specimen Printing Conditions Subjects Data Nozzle Temperature 255 °C Bed Temperature 70 °C Printing Speed 150 mm/s Infill Density 100% All the specimens were printed at the following settings: X1-Carbon, Nozzle Temperature = 255 °C, Printing Speed = 150 mm/s, Bed Temperature = 70 °C, Infill Density = 100%. It's not recommended to anneal prints of PETG Basic, because only very",
Properties,428,V000425,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 255 °C Bed Temperature 70 °C Printing Speed 150 mm/s Infill Density 100% All the specimens were printed at the following settings: X1-Carbon，Nozzle Temperature = 255 °C, Printing Speed = 150 mm/s, Bed Temperature = 70 °C, Infill Density = 100%. It's not recommended to anneal prints of PETG Basic, because only very","Specimen Printing Conditions Subjects Data Nozzle Temperature 255 °C Bed Temperature 70 °C Printing Speed 150 mm/s Infill Density 100% All the specimens were printed at the following settings: X1-Carbon，Nozzle Temperature = 255 °C, Printing Speed = 150 mm/s, Bed Temperature = 70 °C, Infill Density = 100%. It's not recommended to anneal prints of PETG Basic, because only very","Specimen Printing Conditions Subjects Data Nozzle Temperature 255 °C Bed Temperature 70 °C Printing Speed 150 mm/s Infill Density 100% All the specimens were printed at the following settings: X1-Carbon, Nozzle Temperature = 255 °C, Printing Speed = 150 mm/s, Bed Temperature = 70 °C, Infill Density = 100%. It's not recommended to anneal prints of PETG Basic, because only very",
Properties,429,V000426,Normalized value,"formula cached text, STALE: kept as the build read it",Not published,Not published,Not published,
Properties,429,V000426,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 255 °C Bed Temperature 70 °C Printing Speed 150 mm/s Infill Density 100% All the specimens were printed at the following settings: X1-Carbon，Nozzle Temperature = 255 °C, Printing Speed = 150 mm/s, Bed Temperature = 70 °C, Infill Density = 100%. It's not recommended to anneal prints of PETG Basic, because only very","Specimen Printing Conditions Subjects Data Nozzle Temperature 255 °C Bed Temperature 70 °C Printing Speed 150 mm/s Infill Density 100% All the specimens were printed at the following settings: X1-Carbon，Nozzle Temperature = 255 °C, Printing Speed = 150 mm/s, Bed Temperature = 70 °C, Infill Density = 100%. It's not recommended to anneal prints of PETG Basic, because only very","Specimen Printing Conditions Subjects Data Nozzle Temperature 255 °C Bed Temperature 70 °C Printing Speed 150 mm/s Infill Density 100% All the specimens were printed at the following settings: X1-Carbon, Nozzle Temperature = 255 °C, Printing Speed = 150 mm/s, Bed Temperature = 70 °C, Infill Density = 100%. It's not recommended to anneal prints of PETG Basic, because only very",
Properties,430,V000427,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 255 °C Bed Temperature 70 °C Printing Speed 150 mm/s Infill Density 100% All the specimens were printed at the following settings: X1-Carbon，Nozzle Temperature = 255 °C, Printing Speed = 150 mm/s, Bed Temperature = 70 °C, Infill Density = 100%. It's not recommended to anneal prints of PETG Basic, because only very","Specimen Printing Conditions Subjects Data Nozzle Temperature 255 °C Bed Temperature 70 °C Printing Speed 150 mm/s Infill Density 100% All the specimens were printed at the following settings: X1-Carbon，Nozzle Temperature = 255 °C, Printing Speed = 150 mm/s, Bed Temperature = 70 °C, Infill Density = 100%. It's not recommended to anneal prints of PETG Basic, because only very","Specimen Printing Conditions Subjects Data Nozzle Temperature 255 °C Bed Temperature 70 °C Printing Speed 150 mm/s Infill Density 100% All the specimens were printed at the following settings: X1-Carbon, Nozzle Temperature = 255 °C, Printing Speed = 150 mm/s, Bed Temperature = 70 °C, Infill Density = 100%. It's not recommended to anneal prints of PETG Basic, because only very",
Properties,431,V000428,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 255 °C Bed Temperature 70 °C Printing Speed 150 mm/s Infill Density 100% All the specimens were printed at the following settings: X1-Carbon，Nozzle Temperature = 255 °C, Printing Speed = 150 mm/s, Bed Temperature = 70 °C, Infill Density = 100%. It's not recommended to anneal prints of PETG Basic, because only very","Specimen Printing Conditions Subjects Data Nozzle Temperature 255 °C Bed Temperature 70 °C Printing Speed 150 mm/s Infill Density 100% All the specimens were printed at the following settings: X1-Carbon，Nozzle Temperature = 255 °C, Printing Speed = 150 mm/s, Bed Temperature = 70 °C, Infill Density = 100%. It's not recommended to anneal prints of PETG Basic, because only very","Specimen Printing Conditions Subjects Data Nozzle Temperature 255 °C Bed Temperature 70 °C Printing Speed 150 mm/s Infill Density 100% All the specimens were printed at the following settings: X1-Carbon, Nozzle Temperature = 255 °C, Printing Speed = 150 mm/s, Bed Temperature = 70 °C, Infill Density = 100%. It's not recommended to anneal prints of PETG Basic, because only very",
Properties,432,V000429,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 255 °C Bed Temperature 70 °C Printing Speed 150 mm/s Infill Density 100% All the specimens were printed at the following settings: X1-Carbon，Nozzle Temperature = 255 °C, Printing Speed = 150 mm/s, Bed Temperature = 70 °C, Infill Density = 100%. It's not recommended to anneal prints of PETG Basic, because only very","Specimen Printing Conditions Subjects Data Nozzle Temperature 255 °C Bed Temperature 70 °C Printing Speed 150 mm/s Infill Density 100% All the specimens were printed at the following settings: X1-Carbon，Nozzle Temperature = 255 °C, Printing Speed = 150 mm/s, Bed Temperature = 70 °C, Infill Density = 100%. It's not recommended to anneal prints of PETG Basic, because only very","Specimen Printing Conditions Subjects Data Nozzle Temperature 255 °C Bed Temperature 70 °C Printing Speed 150 mm/s Infill Density 100% All the specimens were printed at the following settings: X1-Carbon, Nozzle Temperature = 255 °C, Printing Speed = 150 mm/s, Bed Temperature = 70 °C, Infill Density = 100%. It's not recommended to anneal prints of PETG Basic, because only very",
Properties,433,V000430,Specimen / print parameters,text cleanup (m07),"Specimen Printing Conditions Subjects Data Nozzle Temperature 255 °C Bed Temperature 70 °C Printing Speed 150 mm/s Infill Density 100% All the specimens were printed at the following settings: X1-Carbon，Nozzle Temperature = 255 °C, Printing Speed = 150 mm/s, Bed Temperature = 70 °C, Infill Density = 100%. It's not recommended to anneal prints of PETG Basic, because only very","Specimen Printing Conditions Subjects Data Nozzle Temperature 255 °C Bed Temperature 70 °C Printing Speed 150 mm/s Infill Density 100% All the specimens were printed at the following settings: X1-Carbon，Nozzle Temperature = 255 °C, Printing Speed = 150 mm/s, Bed Temperature = 70 °C, Infill Density = 100%. It's not recommended to anneal prints of PETG Basic, because only very","Specimen Printing Conditions Subjects Data Nozzle Temperature 255 °C Bed Temperature 70 °C Printing Speed 150 mm/s Infill Density 100% All the specimens were printed at the following settings: X1-Carbon, Nozzle Temperature = 255 °C, Printing Speed = 150 mm/s, Bed Temperature = 70 °C, Infill Density = 100%. It's not recommended to anneal prints of PETG Basic, because only very",
